,Time,T2s_1s,W10s_1s,Wds_1s
255,2018-03-08 09:00:00,10.707153,0.5663093,80.77742
256,2018-03-05 22:00:00,17.34555,4.616769,8.951141
257,2018-03-05 20:00:00,18.493408,8.980706,10.466583
258,2018-03-14 14:00:00,19.917664,3.101967,335.9751
259,2018-03-20 02:00:00,14.398102,6.0118856,7.6526184
260,2018-03-26 07:00:00,8.229248,0.4361387,21.98323
261,2018-03-26 18:00:00,15.837341,6.7177815,5.010498
262,2018-03-07 04:00:00,12.531738,0.9873153,133.69641
263,2018-03-13 09:00:00,13.1423645,1.126078,92.73343
264,2018-03-31 23:00:00,14.01651,0.5218407,342.8953
265,2018-03-10 12:00:00,12.8645935,0.37918362,120.55675
266,2018-03-02 23:00:00,15.319702,7.230346,350.41226
267,2018-03-23 21:00:00,17.704681,9.767208,4.661621
268,2018-03-09 19:00:00,18.985779,5.7626266,347.32806
269,2018-03-26 09:00:00,7.9439087,0.6050353,126.340805
270,2018-03-17 08:00:00,13.167419,1.4714594,327.53513
271,2018-03-05 15:00:00,17.435516,6.6052823,1.4517212
272,2018-03-07 07:00:00,10.383759,1.2296721,191.66208
273,2018-03-09 21:00:00,16.461548,4.8786864,336.48975
274,2018-03-09 14:00:00,16.994415,1.4040983,172.74205
275,2018-03-22 16:00:00,20.336273,6.5071125,5.5486755
276,2018-03-19 00:00:00,15.677582,8.290419,3.1453247
277,2018-03-08 16:00:00,18.359375,2.1893911,165.75243
278,2018-03-27 12:00:00,10.935974,1.207091,184.85938
279,2018-03-19 16:00:00,20.622559,5.6828065,206.5588
280,2018-03-09 03:00:00,13.582184,1.0569842,216.54039
281,2018-03-11 23:00:00,16.258331,5.7904654,17.532623
282,2018-03-04 14:00:00,17.268127,0.53067094,228.3274
283,2018-03-09 06:00:00,12.16394,0.41469073,250.55064
284,2018-03-09 05:00:00,12.7152405,0.47706708,220.2099
285,2018-03-12 07:00:00,12.472321,1.9085009,223.59456
286,2018-03-24 13:00:00,16.985046,1.780529,357.65924
287,2018-03-26 02:00:00,9.137665,0.23666392,308.30167
288,2018-03-08 15:00:00,17.269867,3.9059565,210.85887
289,2018-03-02 10:00:00,11.2743225,1.1627016,294.3486
290,2018-03-28 06:00:00,9.125061,5.766591,359.20752
291,2018-03-28 15:00:00,15.678528,3.1696603,6.453003
292,2018-03-27 21:00:00,14.984467,7.970751,12.113464
293,2018-03-09 17:00:00,18.856232,8.240695,350.53925
294,2018-03-10 05:00:00,12.633972,0.60571986,129.54768
295,2018-03-08 02:00:00,12.074707,0.90243244,328.52307
296,2018-03-05 23:00:00,14.777863,6.4014664,12.911591
297,2018-03-25 17:00:00,11.48172,1.2198558,76.18735
298,2018-03-01 08:00:00,11.278168,2.0896442,330.00986
299,2018-03-07 22:00:00,14.174255,0.34942263,51.030777
300,2018-03-24 08:00:00,13.4991455,4.2074103,9.406311
301,2018-03-17 00:00:00,14.85611,4.3601503,325.62238
302,2018-03-22 11:00:00,12.069153,3.4628022,335.2583
303,2018-03-17 04:00:00,13.553558,4.7961454,6.594513
304,2018-03-15 16:00:00,20.965027,8.191723,5.376251
305,2018-03-18 13:00:00,18.940643,0.8283666,322.66675
306,2018-03-15 06:00:00,14.814545,2.5163321,220.76862
307,2018-03-06 09:00:00,12.219482,0.7668322,11.659607
308,2018-03-14 09:00:00,14.0278015,1.0905678,227.10216
309,2018-03-30 10:00:00,8.27063,1.2343488,28.160797
310,2018-03-02 07:00:00,12.781311,8.084795,347.31094
311,2018-03-08 08:00:00,10.636047,0.37707564,195.35172
312,2018-03-25 07:00:00,13.239227,1.5498625,334.3556
313,2018-03-21 13:00:00,13.294739,1.1310587,29.921326
314,2018-03-31 12:00:00,10.837402,0.29438022,254.2339
315,2018-03-20 11:00:00,11.707764,1.3813705,206.302
316,2018-03-21 04:00:00,14.240662,1.6887267,201.50919
317,2018-03-10 17:00:00,17.480652,3.8924263,347.09885
318,2018-03-01 11:00:00,10.2534485,1.3765599,87.9565
319,2018-03-11 17:00:00,22.331543,4.3401637,203.31735
320,2018-03-31 07:00:00,8.434692,1.7801708,5.1884155
321,2018-03-28 09:00:00,9.102478,0.5882484,335.99115
322,2018-03-31 22:00:00,14.042786,4.3756075,343.94916
323,2018-03-21 14:00:00,14.533691,1.1240813,105.76912
324,2018-03-12 21:00:00,20.93045,3.4194274,197.94565
325,2018-03-14 20:00:00,20.825378,8.496063,10.013336
326,2018-03-23 18:00:00,18.992432,11.264815,13.628723
327,2018-03-15 02:00:00,15.320831,5.514481,315.5186
328,2018-03-23 22:00:00,16.12445,9.46826,7.4580383
329,2018-03-11 04:00:00,13.994019,3.7138994,354.4941
330,2018-03-24 22:00:00,16.898102,7.4569917,3.4270325
331,2018-03-12 08:00:00,12.531494,7.3028517,351.38995
332,2018-03-01 06:00:00,12.9904785,5.0488496,18.222076
333,2018-03-04 13:00:00,15.330383,2.021367,207.66376
334,2018-03-10 08:00:00,12.361908,1.2722378,188.2498
335,2018-03-30 06:00:00,9.235382,0.62095654,293.48807
336,2018-03-08 13:00:00,13.582825,2.641231,209.6821
337,2018-03-02 18:00:00,19.644958,8.979517,3.6135254
338,2018-03-04 12:00:00,14.117523,0.54440475,183.3197
339,2018-03-26 16:00:00,14.947754,8.486643,4.7857666
340,2018-03-01 07:00:00,12.487213,6.924912,343.72928
341,2018-03-18 23:00:00,16.235748,9.750059,11.109924
342,2018-03-30 04:00:00,9.802551,1.6000181,115.68982
343,2018-03-19 04:00:00,14.57962,5.0130224,6.702759
344,2018-03-03 03:00:00,14.013977,5.619401,2.9534607
345,2018-03-04 20:00:00,17.822083,8.630892,350.3595
346,2018-03-04 04:00:00,14.281982,5.5793724,352.03833
347,2018-03-12 06:00:00,12.764252,2.4498563,330.17572
348,2018-03-02 03:00:00,13.905548,10.359423,356.56586
349,2018-03-10 07:00:00,12.114136,1.3925023,174.66446
350,2018-03-25 20:00:00,12.1597595,1.065279,227.61545
351,2018-03-04 05:00:00,13.617767,5.688228,327.31793
352,2018-03-02 14:00:00,15.276184,8.318919,344.66718
353,2018-03-24 19:00:00,19.76654,9.936208,2.6462097
354,2018-03-16 23:00:00,15.131134,5.0475373,350.21808
355,2018-03-20 04:00:00,13.146912,1.8635738,208.42662
356,2018-03-17 03:00:00,13.581818,4.9071293,356.4814
357,2018-03-25 16:00:00,11.403015,1.4848906,55.156372
358,2018-03-20 17:00:00,20.891724,1.5483212,353.71155
359,2018-03-02 22:00:00,15.338745,11.899268,1.6693115
360,2018-03-23 16:00:00,20.077637,7.515748,9.044037
361,2018-03-21 06:00:00,12.909088,2.15517,173.25748
